title,url,thumbnail_url,channel,description
Destiny 2: The Witch Queen - Weapons and Gear Trailer,https://www.youtube.com/watch?v=jzTQJzJ6TG4,https://i.ytimg.com/vi/jzTQJzJ6TG4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAt82iKXdpNs5tzle57vUODUohU3w,Destiny 2,"A new weapon archetype begins its journey at the Relic. Once honed to perfection, master your Glaive to perform powerful melee combos, fire projectiles, and deploy a powerful energy shield...."
Apex Legends: Defiance Gameplay Trailer,https://www.youtube.com/watch?v=OtVABKfc_AE,https://i.ytimg.com/vi/OtVABKfc_AE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAy2qM4gIWeY34VDph67p-HGHyYYA,Apex Legends,"Check out the brand new limited-time mode Control debuting in Apex Legends: Defiance, and see new Legend Mad Maggie in action amidst the chaos of a sabotaged Olympus. http://x.ea.com/72542..."
I have more christmas movies to complain about,https://www.youtube.com/watch?v=3HFi09o_iLU,https://i.ytimg.com/vi/3HFi09o_iLU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCWkG2s0kCjdofkQ_5qPfm4pEaOdw,Drew Gooden,Sponsored by ExpressVPN. Go to https://www.expressvpn.com/drew and find out how you can get 3 months of ExpressVPN free. please don't look at the calendar. 00:00 - intro 01:19 - no sleep...
Emmy Meli - I AM WOMAN (Official Performance Video),https://www.youtube.com/watch?v=uaGM5SRStQo,https://i.ytimg.com/vi/uaGM5SRStQo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAArgKzN8NaWdJFRZbEWbhTk8_wag,EMMY MELI,"I AM WOMAN available everywhere, stream here: https://emmymeli.lnk.to/IAMWOMAN Follow me: https://www.tiktok.com/@emmymelimusic https://www.instagram.com/emmymelimusic https://www.facebook.com/..."
True Facts: Proboscis Monkey,https://www.youtube.com/watch?v=qDZS1KO1SgA,,zefrank1,"Go to https://curiositystream.com/Zefrank - get Curiosity Stream for only $14.99 for a whole year. Code zefrank. Posters, shirts, and more: https://ze-true-store.myshopify.com/ Patreon: https://www..."
Renata Glasc: The Chem-Baroness | Champion Trailer - League of Legends,https://www.youtube.com/watch?v=X20X781I_-I,,League of Legends,"With her or against her, you’re always in her grasp. Renata Glasc Teaser: https://www.glascindustries.com/ Abilities Rundown: https://www.leagueoflegends.com/en-us/event/renata-glasc-abilities-r..."
I FROZE his stuff?! (Prank) #shorts,https://www.youtube.com/watch?v=SCtgnRRRcGw,,NichLmao,CHECK ME OUT: INSTAGRAM ► Nichlmao TWITTER ► Nichlmao SNAPCHAT ► Nichlmao TWlTCH ► https://twitch.tv/notnichlmao GAMING ► https://www.youtube.com/channel/UCNLxsUvaP5CRMD6cvO03K4w...
Halo The Series (2022) | Official Trailer | Paramount+,https://www.youtube.com/watch?v=5KZ3MKraNKY,,Paramount Plus,"#HaloTheSeries #MasterChief #ParamountPlus Dramatizing an epic 26th-century conflict between humanity and an alien threat known as the Covenant, Halo the series will weave deeply drawn personal..."
Moving Into my Temporary Home…,https://www.youtube.com/watch?v=41GxLAdruDU,,morgans vlogs,HIIII!!! I cannot believe it has been a month.. I hope you all had a beautiful January and I am so excited to spend this year with you. 🤍 FOLLOW ME ON INSTAGRAM:https://www.instagram.com/morgan...
The BEST HOUSE EVER in Minecraft Hardcore! (#1),https://www.youtube.com/watch?v=EDYifz45dhU,,aCookieGod,The BEST HOUSE EVER in Minecraft Hardcore! We're BACK with SEASON 2 of my Minecraft Hardcore Series! A new episode will be coming EVERY FRIDAY! 🔥 SEASON 1: https://www.youtube.com/watch?v=dcXj...
